Программистские термины
пакет;אצווה;ацва
истина;אמת;эмет
выражение;ביטוי;битуй
проверка;ביקורת;бикорет
выбор;בירור;бэрур
блок;גוש;гуш
доступ;גישה;гиша
версия;גירסה;гирса
отчет;רוח;дуах
инструкция;הוראה;hораа
комментарий;הערה;hеара
копия;העתק;hээтек
ссылка;הפניה;hафная
сравнение;השוואה;hашваа
вычисление;חישוב;хишув
ошибка;טעות;таут
выбирать;לברור;ливрор
копировать;להעתיק;леhаатик
цикл;מחזור;махзор
буфер;מאגר;маагар
событие;מאורה;меора
счетчик;מונה;монэ
компьютер;מחשב;махшев
сортировка;מיון;миюн
экран;מסך;масах
процессор;מעבד;меабед
адрес;מען;маан
массив;מערך;маарах


 
